# gname               ra          dec         era       edec      l         b          el        eb        Class                Speak   eSpeak   Sint     eSint   RMS    SNR     Yf     Reff   Npix   Alpha    eAlpha  
  G002.9816+00.2705   267.87898   -26.24234   5.47E-6   5.47E-6   2.98157   0.27045    5.29E-6   5.09E-6   Radio-star           7.61    0.45     8.01     0.44    0.18   42.42   1.05   1.03   53     -1.41    0.12    
  G002.9836+00.5550   267.60775   -26.09499   2.42E-5   2.42E-5   2.98363   0.55499    2.37E-5   2.25E-5   EgC                  0.88    0.12     1.69     0.14    0.11   8.27    1.93   0.91   42     0.07     0.24    
  G002.9890+00.4462   267.71487   -26.14612   8.43E-6   8.43E-6   2.98897   0.44621    8.23E-6   7.75E-6   Radio-star           2.63    0.18     2.28     0.16    0.11   24.99   0.87   0.81   33     0.95     0.11    
  G002.9899+00.5656   267.60121   -26.08414   1.84E-5   1.84E-5   2.98993   0.5656     1.78E-5   1.7E-5    EgC                  1.06    0.12     0.96     0.11    0.1    10.9    0.91   0.68   23     -0.59    0.63    
  G002.9935+00.8934   267.2903    -25.91273   2.7E-5    2.7E-5    2.9935    0.89341    2.66E-5   2.53E-5   EgC                  0.73    0.11     0.57     0.1     0.1    7.39    0.78   0.56   16     -0.67    0.59    
  G002.9944-00.5063   268.63333   -26.626     9.65E-6   9.65E-6   2.99442   -0.50627   9.41E-6   8.89E-6   Radio-star           2.25    0.16     1.95     0.15    0.11   21.5    0.87   0.79   31     -0.27    0.32    
  G003.0002+00.4454   267.72205   -26.13694   2.59E-5   2.59E-5   3.00016   0.44536    2.52E-5   2.41E-5   EgC                  0.81    0.11     0.64     0.11    0.11   7.72    0.79   0.58   17     -0.02    0.5     
  G003.0165-00.3724   268.51669   -26.53922   9.18E-6   9.18E-6   3.01648   -0.37239   9.11E-6   8.48E-6   EgC                  2.31    0.17     2.33     0.16    0.11   22.71   1.01   0.83   35     -1.32    0.18    
  G003.0179-00.2921   268.44009   -26.49733   1.29E-5   1.29E-5   3.01786   -0.29208   1.26E-5   1.19E-5   Radio-star           1.61    0.14     1.45     0.13    0.11   15.8    0.9    0.76   29     -1.05    0.28    
  G003.0193-00.7323   268.8657    -26.7186    2.23E-5   2.23E-5   3.01933   -0.73226   2.19E-5   2.07E-5   EgC                  0.94    0.12     0.75     0.11    0.11   8.99    0.79   0.6    18     0.74     0.41    
  G003.0295-00.6230   268.76586   -26.65474   1.45E-5   1.45E-5   3.02947   -0.62302   1.4E-5    1.34E-5   Radio-star           1.48    0.13     1.25     0.12    0.11   13.99   0.85   0.71   25     0.3      0.13    
  G003.0372+00.9338   267.27675   -25.85446   2.05E-5   2.05E-5   3.03719   0.93385    2.0E-5    1.91E-5   Other                1.01    0.12     0.73     0.11    0.1    9.76    0.72   0.6    18     -0.62    0.29    
