# gname               ra          dec         era       edec      l         b          el        eb        Class                Speak   eSpeak   Sint     eSint   RMS    SNR     Yf     Reff   Npix   Alpha    eAlpha  
  G056.5947+00.9266   293.29047   21.37848    1.39E-5   1.39E-5   56.59472  0.92663    1.35E-5   1.32E-5   EgC                  1.23    0.11     1.53     0.11    0.09   14.53   1.24   0.86   37     -0.07    0.23    
  G056.6056+00.2607   293.92077   21.06489    1.24E-5   1.24E-5   56.60557  0.26072    1.24E-5   1.17E-5   EgC                  1.36    0.11     1.19     0.1     0.08   16.51   0.87   0.75   28     -0.72    0.39    
  G056.6083+00.5549   293.64653   21.21028    1.14E-5   1.14E-5   56.60827  0.55493    1.11E-5   1.08E-5   EgC                  1.34    0.11     1.21     0.1     0.08   17.92   0.9    0.77   30     -0.56    0.33    
  G056.6086-00.2464   294.39628   20.81996    2.18E-5   2.18E-5   56.60861  -0.24643   2.15E-5   2.06E-5   EgC                  0.7     0.09     0.59     0.08    0.08   9.2     0.84   0.61   19     -0.62    0.33    
  G056.6142+00.1710   294.0092    21.02871    1.11E-5   1.11E-5   56.61418  0.17102    1.11E-5   1.06E-5   EgC                  2.83    0.22     4.42     0.27    0.15   18.43   1.56   1.07   58     -1.18    0.16    
  G056.6156+00.1706   294.01032   21.02975    2.18E-5   2.18E-5   56.61559  0.17062    2.15E-5   2.06E-5   EgC                  1.47    0.18     1.36     0.18    0.16   9.19    0.92   0.68   23     0.52     0.22    
  G056.6162+00.1707   294.0106    21.03032    4.88E-6   4.88E-6   56.61621  0.17067    4.84E-6   4.63E-6   EgC                  7.7     0.45     11.25    0.58    0.16   49.85   1.46   1.48   110    -0.63    0.09    
  G056.6166+00.1222   294.05608   21.007      6.28E-6   6.28E-6   56.61655  0.12223    6.15E-6   5.93E-6   EgC                  2.71    0.17     2.53     0.15    0.08   35.41   0.94   0.91   42     -0.74    0.19    
  G056.6196+00.6108   293.59999   21.2473     9.33E-6   9.33E-6   56.61959  0.61083    9.22E-6   8.82E-6   EgC                  1.77    0.13     1.54     0.11    0.08   22.33   0.87   0.79   31     0.14     0.2     
  G056.6246+00.5341   293.67453   21.21445    2.45E-5   2.45E-5   56.62459  0.53414    2.41E-5   2.32E-5   EgC                  0.68    0.09     0.73     0.09    0.09   8.15    1.07   0.69   24     -0.27    0.58    
  G056.6515+00.4147   293.80049   21.17999    1.65E-5   1.65E-5   56.65154  0.41475    1.62E-5   1.55E-5   EgC                  0.98    0.1      0.88     0.09    0.08   12.17   0.9    0.71   25     0.18     0.41    
  G056.6516+00.5948   293.63174   21.26751    1.41E-5   1.41E-5   56.65162  0.59476    1.41E-5   1.33E-5   EgC                  1.2     0.11     1.04     0.1     0.09   14.39   0.87   0.72   26     0.83     0.35    
  G056.6625-00.8440   294.98101   20.57348    2.52E-5   2.52E-5   56.6625   -0.84397   2.51E-5   2.4E-5    EgC                  0.66    0.09     0.55     0.09    0.09   7.94    0.84   0.58   17     0.08     0.22    
  G056.6689+00.6533   293.58576   21.31101    9.4E-6    9.4E-6    56.66887  0.65333    9.22E-6   8.91E-6   EgC                  1.8     0.13     1.57     0.11    0.08   22.13   0.88   0.79   31     0.19     0.17    
  G056.6706-00.0993   294.29145   20.94601    2.15E-5   2.15E-5   56.67063  -0.09934   2.12E-5   2.04E-5   EgC                  0.95    0.12     0.79     0.11    0.1    9.31    0.83   0.63   20     0.45     0.41    
  G056.6734-00.7120   294.86402   20.64799    2.6E-5    2.6E-5    56.67345  -0.71197   2.54E-5   2.48E-5   EgC                  0.6     0.09     0.48     0.08    0.08   7.68    0.8    0.56   16     -0.03    0.47    
  G056.6797+00.0644   294.1432    21.03395    1.89E-5   1.89E-5   56.67975  0.06439    1.85E-5   1.81E-5   EgC                  0.85    0.09     0.71     0.09    0.08   10.64   0.83   0.65   21     0.09     0.34    
  G056.6815+00.8134   293.44193   21.39961    2.77E-5   2.77E-5   56.68146  0.81344    2.73E-5   2.61E-5   EgC                  0.48    0.07     0.43     0.07    0.07   7.2     0.89   0.58   17     0.15     0.46    
  G056.6869+00.6998   293.55147   21.34931    1.1E-5    1.1E-5    56.68688  0.69983    1.09E-5   1.04E-5   EgC                  1.54    0.12     1.34     0.11    0.09   18.65   0.87   0.76   29     -0.74    0.13    
  G056.7072-00.3588   294.55279   20.8509     2.14E-5   2.14E-5   56.70724  -0.35879   2.12E-5   2.01E-5   EgC                  0.81    0.1      0.67     0.09    0.09   9.35    0.83   0.61   19     0.83     0.29    
  G056.7111+00.1230   294.10481   21.08992    9.1E-6    9.1E-6    56.71112  0.12298    8.91E-6   8.56E-6   EgC                  1.65    0.11     1.45     0.1     0.07   22.94   0.88   0.81   33     0.11     0.17    
  G056.7183+00.5582   293.70079   21.30805    2.09E-5   2.09E-5   56.71831  0.5582     2.05E-5   1.97E-5   EgC                  0.79    0.09     0.71     0.09    0.08   9.57    0.9    0.68   23     -1.12    0.45    
  G056.7279-00.0226   294.24967   21.03348    2.73E-5   2.73E-5   56.72787  -0.02255   2.71E-5   2.58E-5   EgC                  0.61    0.09     0.51     0.09    0.08   7.3     0.84   0.58   17     -0.04    0.63    
  G056.7333-00.1936   294.4123    20.95459    3.64E-6   3.64E-6   56.73333  -0.19358   3.58E-6   3.46E-6   EgC                  7.4     0.41     6.83     0.35    0.09   86.69   0.92   1.06   56     -0.48    0.08    
  G056.7343+00.0682   294.16814   21.08345    5.65E-6   5.65E-6   56.73432  0.06824    5.64E-6   5.35E-6   EgC                  3.13    0.19     3.05     0.17    0.08   40.59   0.98   0.94   44     -0.82    0.14    
  G056.7406-00.4254   294.63237   20.84731    1.64E-5   1.64E-5   56.7406   -0.42536   1.63E-5   1.55E-5   EgC                  1.03    0.1      0.85     0.09    0.08   12.28   0.83   0.69   24     0.13     0.39    
  G056.7435+00.4278   293.83623   21.26665    1.13E-5   1.13E-5   56.74346  0.42778    1.12E-5   1.06E-5   EgC                  1.49    0.11     1.55     0.11    0.08   18.18   1.04   0.81   33     -1.27    0.3     
  G056.7495+00.1745   294.07666   21.1486     1.29E-5   1.29E-5   56.74954  0.17453    1.27E-5   1.22E-5   EgC                  1.17    0.1      1.06     0.09    0.08   15.75   0.9    0.76   29     -0.44    0.19    
  G056.7521+00.8353   293.45809   21.47197    2.28E-5   2.28E-5   56.75206  0.83532    2.23E-5   2.15E-5   EgC                  0.67    0.09     0.51     0.08    0.08   8.76    0.76   0.58   17     -1.02    0.4     
  G056.7618+00.0267   294.22136   21.08711    2.43E-5   2.43E-5   56.76176  0.0267     2.39E-5   2.31E-5   EgC                  0.68    0.09     0.9      0.1     0.08   8.21    1.32   0.77   30     -0.24    0.58    
  G056.7738+00.0213   294.23275   21.09495    2.02E-5   2.02E-5   56.77379  0.02125    2.0E-5    1.91E-5   EgC                  0.78    0.09     0.63     0.09    0.08   9.92    0.81   0.63   20     -0.02    0.39    
  G056.8051-00.6491   294.8747    20.7935     1.51E-5   1.51E-5   56.80505  -0.64907   1.49E-5   1.43E-5   EgC                  1.13    0.11     0.99     0.1     0.09   13.36   0.88   0.72   26     -0.51    0.28    
  G056.8096+00.5467   293.75917   21.38233    2.18E-5   2.18E-5   56.80965  0.54675    2.15E-5   2.06E-5   EgC                  0.77    0.1      0.62     0.09    0.09   9.2     0.8    0.6    18     0.84     0.22    
  G056.8153+00.5399   293.76852   21.3839     1.6E-5    1.6E-5    56.81525  0.53991    1.56E-5   1.51E-5   EgC                  1.07    0.1      0.87     0.1     0.08   12.59   0.82   0.68   23     -0.27    0.15    
  G056.8179+00.5073   293.80054   21.37035    9.21E-6   9.21E-6   56.8179   0.50726    9.07E-6   8.7E-6    EgC                  1.85    0.13     1.61     0.11    0.08   22.64   0.87   0.81   33     0.77     0.19    
  G056.8501-00.7687   295.0098    20.77382    1.16E-5   1.16E-5   56.85012  -0.76869   1.15E-5   1.11E-5   EgC                  1.49    0.12     1.18     0.1     0.08   17.69   0.79   0.72   26     -0.32    0.3     
  G056.8502-01.0233   295.24656   20.64825    1.25E-5   1.25E-5   56.85019  -1.02328   1.23E-5   1.17E-5   Radio-star           2.59    0.21     2.43     0.2     0.16   16.23   0.94   0.79   31     -0.55    0.37    
  G056.8508+00.9778   293.37537   21.6273     6.28E-6   6.28E-6   56.85075  0.97783    6.28E-6   5.94E-6   EgC                  3.23    0.2      3.14     0.18    0.09   35.38   0.97   0.9    41     -0.36    0.19    
  G056.8540+00.9736   293.38104   21.62814    1.91E-5   1.91E-5   56.85403  0.97363    1.88E-5   1.82E-5   EgC                  0.96    0.1      0.82     0.1     0.09   10.51   0.85   0.66   22     0.49     0.25    
  G056.8689-00.5113   294.77994   20.91688    1.22E-5   1.22E-5   56.86893  -0.51128   1.2E-5    1.17E-5   EgC                  1.36    0.11     1.36     0.11    0.08   16.76   1.0    0.81   33     0.22     0.28    
  G056.8739+00.0703   294.23933   21.20619    1.35E-5   1.35E-5   56.87385  0.07026    1.33E-5   1.27E-5   EgC                  1.13    0.1      0.97     0.09    0.08   15.04   0.86   0.73   27     -0.03    0.1     
  G056.8880+00.4710   293.87117   21.414      4.1E-6    4.1E-6    56.88804  0.47104    3.98E-6   3.86E-6   EgC                  5.67    0.32     5.79     0.3     0.09   66.75   1.02   1.05   55     -1.27    0.08    
  G056.8936-00.2407   294.54039   21.07126    5.95E-6   5.95E-6   56.89363  -0.24066   5.87E-6   5.62E-6   EgC                  3.33    0.2      3.4      0.19    0.09   37.95   1.02   0.92   43     -0.69    0.09    
  G056.9063+00.1875   294.14661   21.2918     4.75E-6   4.75E-6   56.90635  0.18747    4.64E-6   4.47E-6   EgC                  3.79    0.22     3.63     0.2     0.07   52.02   0.96   0.95   45     -0.52    0.12    
  G056.9077-00.7514   295.02404   20.83243    1.46E-5   1.46E-5   56.90769  -0.75139   1.45E-5   1.38E-5   EgC                  1.08    0.1      1.02     0.09    0.08   13.84   0.94   0.75   28     -0.12    0.25    
  G056.9090+00.7296   293.63923   21.55798    5.3E-6    5.3E-6    56.909    0.72963    5.13E-6   5.05E-6   EgC                  3.97    0.23     4.18     0.23    0.09   44.32   1.05   0.97   47     -0.63    0.09    
  G056.9096+00.7295   293.63968   21.55847    4.73E-6   4.73E-6   56.90963  0.7295     4.65E-6   4.48E-6   EgC                  4.56    0.27     4.68     0.25    0.09   52.37   1.03   0.98   48     -1.1     0.11    
  G056.9120+00.1079   294.2241    21.25787    2.12E-5   2.12E-5   56.91201  0.1079     2.09E-5   1.99E-5   EgC                  0.68    0.08     0.63     0.08    0.07   9.46    0.92   0.68   23     -0.54    0.48    
  G056.9163+00.5009   293.85797   21.45322    1.34E-5   1.34E-5   56.91632  0.50085    1.32E-5   1.27E-5   EgC                  1.35    0.12     1.21     0.11    0.09   15.19   0.9    0.76   29     -1.01    0.23    
  G056.9167+00.5015   293.85752   21.45385    4.84E-6   4.84E-6   56.91667  0.50152    4.75E-6   4.58E-6   EgC                  4.41    0.26     5.05     0.27    0.09   50.48   1.15   1.03   53     -1.26    0.14    
  G056.9246-00.9424   295.21066   20.75286    9.67E-6   9.67E-6   56.92456  -0.94239   9.52E-6   9.22E-6   EgC                  1.67    0.12     1.37     0.1     0.08   21.46   0.82   0.77   30     0.04     0.15    
  G056.9260-00.7087   294.99394   20.86939    5.67E-6   5.67E-6   56.92599  -0.7087    5.56E-6   5.39E-6   EgC                  3.22    0.2      3.17     0.18    0.08   40.4    0.99   0.91   42     -0.57    0.2     
  G056.9268-00.7451   295.02825   20.85213    1.94E-5   1.94E-5   56.92677  -0.7451    1.91E-5   1.85E-5   EgC                  0.79    0.09     0.62     0.08    0.08   10.32   0.79   0.63   20     -0.38    0.47    
  G056.9464-00.3689   294.68784   21.0543     2.81E-5   2.81E-5   56.94636  -0.36887   2.77E-5   2.71E-5   EgC                  0.59    0.09     0.52     0.09    0.08   7.1     0.88   0.58   17     -0.17    0.71    
  G056.9486-00.7617   295.05522   20.86295    2.14E-5   2.14E-5   56.94861  -0.76169   2.1E-5    2.04E-5   EgC                  0.7     0.09     0.78     0.09    0.08   9.35    1.12   0.72   26     -0.63    0.7     
  G056.9509+00.6144   293.76935   21.53863    2.02E-5   2.02E-5   56.95086  0.61444    2.0E-5    1.92E-5   EgC                  0.86    0.1      0.74     0.09    0.09   9.9     0.86   0.66   22     0.58     0.53    
  G056.9561-00.5317   294.84487   20.9828     4.32E-6   4.32E-6   56.95615  -0.53167   4.26E-6   4.12E-6   EgC                  4.77    0.28     4.74     0.25    0.08   60.84   1.0    1.02   52     -0.99    0.1     
  G056.9851-00.6696   294.98871   20.94004    6.47E-6   6.47E-6   56.98506  -0.66963   6.38E-6   6.16E-6   EgC                  2.62    0.16     2.67     0.15    0.08   34.08   1.02   0.94   44     -0.61    0.17    
  G056.9927+00.5143   293.88524   21.52646    1.75E-5   1.75E-5   56.99266  0.51432    1.72E-5   1.66E-5   EgC                  0.95    0.1      0.86     0.09    0.08   11.52   0.91   0.71   25     -0.46    0.41    
  G057.0011+00.4680   293.93319   21.51131    1.61E-5   1.61E-5   57.00113  0.46798    1.58E-5   1.52E-5   EgC                  1.05    0.1      0.95     0.1     0.09   12.55   0.91   0.71   25     -0.38    0.28    
  G057.0024-00.5098   294.84885   21.03382    2.57E-5   2.57E-5   57.0024   -0.5098    2.52E-5   2.44E-5   EgC                  0.59    0.08     0.5      0.08    0.08   7.76    0.84   0.6    18     -0.66    0.42    
  G057.0097+00.1722   294.21509   21.37455    3.93E-6   3.93E-6   57.00971  0.17222    3.9E-6    3.7E-6    EgC                  6.06    0.34     5.94     0.31    0.08   72.89   0.98   1.01   51     -0.64    0.07    
  G057.0174-00.9674   295.28301   20.8212     2.88E-6   2.88E-6   57.01742  -0.96744   2.83E-6   2.76E-6   EgC                  30.52   1.72     31.72    1.59    0.08   386.1   1.04   1.31   86     -0.35    0.03    
  G057.0242-00.7727   295.10542   20.9233     1.12E-5   1.12E-5   57.02424  -0.77273   1.1E-5    1.06E-5   EgC                  1.43    0.11     1.36     0.1     0.08   18.24   0.95   0.8    32     -0.37    0.24    
  G057.0305-00.5088   294.86274   21.05876    1.46E-5   1.46E-5   57.03049  -0.50881   1.42E-5   1.38E-5   EgC                  1.14    0.11     1.08     0.1     0.08   13.83   0.95   0.76   29     -0.57    0.33    
  G057.0312-00.6562   295.00058   20.98679    2.33E-5   2.33E-5   57.03121  -0.65625   2.3E-5    2.18E-5   EgC                  0.67    0.09     0.72     0.09    0.08   8.58    1.08   0.71   25     -1.15    0.35    
  G057.0387+00.5050   293.91811   21.56213    1.33E-5   1.33E-5   57.0387   0.50497    1.31E-5   1.26E-5   PN                   1.26    0.11     1.23     0.1     0.08   15.22   0.98   0.77   30     -0.85    0.36    
  G057.0449-00.3818   294.75181   21.1338     7.73E-6   7.73E-6   57.04493  -0.3818    7.62E-6   7.33E-6   EgC                  2.31    0.15     2.41     0.15    0.09   27.58   1.04   0.89   40     -0.93    0.2     
  G057.0562+00.3346   294.08718   21.49438    2.11E-5   2.11E-5   57.05618  0.33463    2.08E-5   2.0E-5    EgC                  0.74    0.09     0.99     0.09    0.08   9.49    1.34   0.82   34     0.03     0.37    
  G057.0774+00.0965   294.32154   21.39661    2.56E-5   2.56E-5   57.0774   0.09652    2.51E-5   2.41E-5   EgC                  0.6     0.08     0.58     0.08    0.08   7.78    0.96   0.63   20     -0.7     0.4     
  G057.0778-00.8983   295.25059   20.90784    2.0E-5    2.0E-5    57.07777  -0.89828   1.97E-5   1.9E-5    EgC                  0.71    0.08     0.61     0.08    0.07   10.04   0.87   0.66   22     0.06     0.57    
  G057.0922-00.0228   294.44107   21.35114    1.7E-5    1.7E-5    57.09223  -0.0228    1.66E-5   1.62E-5   EgC                  0.9     0.09     1.25     0.1     0.08   11.87   1.39   0.89   40     -0.36    0.58    
  G057.0960+00.8797   293.5956    21.79427    2.84E-5   2.84E-5   57.09597  0.87972    2.77E-5   2.69E-5   EgC                  0.55    0.08     1.08     0.09    0.08   7.03    1.95   0.87   38     -1.34    0.45    
  G057.0961-00.5915   294.97447   21.07519    1.33E-5   1.33E-5   57.09612  -0.59147   1.32E-5   1.26E-5   EgC                  1.4     0.12     1.75     0.13    0.09   15.25   1.25   0.89   40     -1.46    0.23    
  G057.0978-00.5930   294.97678   21.07587    6.36E-6   6.36E-6   57.09778  -0.59301   6.24E-6   6.05E-6   EgC                  3.21    0.2      3.56     0.2     0.09   34.86   1.11   1.01   51     -0.59    0.1     
  G057.1092+00.5561   293.90694   21.64858    1.87E-5   1.87E-5   57.10916  0.55613    1.84E-5   1.79E-5   EgC                  0.79    0.09     0.82     0.09    0.08   10.74   1.03   0.72   26     -1.04    0.32    
  G057.1311+00.3889   294.07551   21.58626    2.21E-5   2.21E-5   57.1311   0.38891    2.18E-5   2.09E-5   EgC                  0.64    0.08     0.69     0.08    0.07   9.03    1.08   0.72   26     -1.32    0.68    
  G057.1313-00.1391   294.57052   21.3282     7.16E-6   7.16E-6   57.13133  -0.13914   7.07E-6   6.76E-6   EgC                  2.35    0.15     2.28     0.14    0.08   30.19   0.97   0.86   37     0.23     0.19    
  G057.1431+00.0913   294.36102   21.45135    2.01E-5   2.01E-5   57.14312  0.09125    1.98E-5   1.9E-5    EgC                  0.75    0.09     0.8      0.09    0.08   9.97    1.06   0.72   26     -0.61    0.55    
  G057.1446-00.4468   294.86504   21.18862    1.23E-5   1.23E-5   57.14459  -0.44678   1.22E-5   1.15E-5   EgC                  1.22    0.1      1.25     0.1     0.07   16.54   1.02   0.81   33     -0.79    0.35    
  G057.1461+00.7014   293.78969   21.75145    1.47E-5   1.47E-5   57.14606  0.70135    1.46E-5   1.4E-5    EgC                  0.96    0.09     1.05     0.09    0.07   13.75   1.09   0.8    32     -0.12    0.29    
  G057.1568+00.0854   294.37374   21.4604     1.31E-5   1.31E-5   57.15681  0.08536    1.28E-5   1.24E-5   EgC                  1.17    0.1      1.3      0.1     0.08   15.55   1.11   0.83   35     -1.77    0.38    
  G057.1581-00.8059   295.20706   21.02331    1.01E-5   1.01E-5   57.15808  -0.80589   9.89E-6   9.68E-6   EgC                  1.77    0.13     2.54     0.15    0.09   20.52   1.43   1.02   52     -2.28    0.45    
  G057.1623-00.8006   295.20435   21.02957    1.91E-5   1.91E-5   57.16229  -0.8006    1.88E-5   1.82E-5   EgC                  0.81    0.09     1.16     0.1     0.08   10.5    1.44   0.87   38     -1.15    0.57    
  G057.1739-00.5996   295.02316   21.13883    1.25E-5   1.25E-5   57.17389  -0.59964   1.24E-5   1.19E-5   EgC                  1.21    0.1      1.22     0.1     0.08   16.32   1.0    0.79   31     -0.07    0.35    
  G057.1815-00.5611   294.99122   21.16448    2.16E-5   2.16E-5   57.18153  -0.56108   2.1E-5    2.06E-5   PN                   0.69    0.08     0.78     0.08    0.07   9.25    1.13   0.73   27     0.14     0.38    
  G057.1828-00.3657   294.80945   21.26177    7.22E-6   7.22E-6   57.18279  -0.36568   7.14E-6   6.93E-6   EgC                  2.2     0.14     2.21     0.13    0.07   29.85   1.0    0.9    41     -0.54    0.16    
  G057.1979-00.6081   295.04375   21.15559    1.16E-5   1.16E-5   57.19794  -0.60808   1.14E-5   1.1E-5    EgC                  1.38    0.11     1.35     0.1     0.08   17.69   0.98   0.8    32     -1.37    0.36    
  G057.2072-00.9269   295.34577   21.00615    1.99E-5   1.99E-5   57.20718  -0.92693   1.96E-5   1.89E-5   EgC                  0.67    0.08     0.68     0.08    0.07   10.07   1.01   0.71   25     -0.29    0.34    
  G057.2142-00.1156   294.59219   21.41197    4.97E-6   4.97E-6   57.21422  -0.11564   4.9E-6    4.67E-6   EgC                  3.93    0.23     4.34     0.23    0.08   48.57   1.1    1.06   57     -1.02    0.06    
  G057.2404-00.4270   294.89716   21.28178    2.15E-5   2.15E-5   57.24044  -0.42699   2.11E-5   2.05E-5   EgC                  0.65    0.08     0.67     0.08    0.07   9.32    1.04   0.71   25     0.08     0.15    
  G057.2468+00.4494   294.07937   21.71676    2.58E-5   2.58E-5   57.24677  0.44943    2.56E-5   2.45E-5   EgC                  0.57    0.08     0.56     0.08    0.07   7.75    0.99   0.65   21     -0.32    0.36    
  G057.2484-00.5729   295.03758   21.21688    1.74E-5   1.74E-5   57.24843  -0.57286   1.69E-5   1.67E-5   PN                   0.88    0.09     0.94     0.09    0.08   11.57   1.07   0.75   28     -2.0     0.3     
  G057.2595-00.7933   295.24901   21.11769    7.87E-6   7.87E-6   57.25949  -0.79329   7.83E-6   7.52E-6   EgC                  1.98    0.13     2.0      0.12    0.07   27.01   1.01   0.88   39     -0.66    0.14    
  G057.2600+00.3029   294.22394   21.65681    2.76E-5   2.76E-5   57.26003  0.30292    2.7E-5    2.58E-5   EgC                  0.54    0.08     0.6      0.08    0.08   7.23    1.11   0.66   22     -1.04    0.41    
  G057.2610+00.8892   293.67295   21.94318    1.85E-5   1.85E-5   57.26102  0.8892     1.82E-5   1.75E-5   Radio-star           0.69    0.07     0.76     0.07    0.06   10.88   1.1    0.75   28     -0.62    0.57    
  G057.2722-00.3447   294.83701   21.34993    2.82E-5   2.82E-5   57.27218  -0.34468   2.74E-5   2.68E-5   EgC                  0.48    0.07     0.58     0.07    0.07   7.06    1.2    0.69   24     0.05     0.59    
  G057.2763+01.0126   293.56457   22.01635    1.74E-5   1.74E-5   57.27625  1.01258    1.71E-5   1.66E-5   EgC                  1.39    0.15     1.76     0.15    0.12   11.54   1.27   0.85   36     -0.79    0.32    
  G057.2777-00.4743   294.96105   21.29088    8.59E-6   8.59E-6   57.27767  -0.47432   8.44E-6   8.12E-6   EgC                  1.68    0.11     1.75     0.11    0.07   24.46   1.04   0.88   39     -0.87    0.14    
  G057.2939-00.8922   295.35939   21.09874    1.91E-5   1.91E-5   57.29394  -0.89216   1.88E-5   1.81E-5   EgC                  0.74    0.08     0.71     0.08    0.07   10.51   0.97   0.71   25     -0.17    0.45    
  G057.2996+00.3637   294.18768   21.72098    2.4E-5    2.4E-5    57.29957  0.36366    2.39E-5   2.26E-5   EgC                  0.66    0.09     0.72     0.09    0.08   8.31    1.09   0.68   23     -0.22    0.41    
  G057.3083+00.5499   294.01719   21.81946    1.56E-5   1.56E-5   57.30829  0.54992    1.53E-5   1.48E-5   EgC                  1.2     0.11     1.62     0.12    0.09   12.93   1.36   0.9    41     -1.08    0.47    
  G057.3143-00.9159   295.39232   21.10463    2.17E-5   2.17E-5   57.31427  -0.91594   2.14E-5   2.05E-5   EgC                  0.78    0.09     1.82     0.12    0.08   9.22    2.33   1.07   58     -0.7     0.23    
  G057.3211-00.2219   294.74805   21.45292    1.12E-5   1.12E-5   57.32114  -0.22192   1.08E-5   1.06E-5   EgC                  1.3     0.1      1.32     0.1     0.07   18.35   1.01   0.82   34     0.08     0.28    
  G057.3233+00.3858   294.17933   21.75248    1.22E-5   1.22E-5   57.32327  0.38581    1.19E-5   1.16E-5   EgC                  1.3     0.1      1.5      0.11    0.08   16.67   1.15   0.85   36     -1.7     0.21    
  G057.3239+00.5603   294.01563   21.83819    3.72E-6   3.72E-6   57.32394  0.5603     3.68E-6   3.5E-6    EgC                  5.82    0.33     5.99     0.31    0.07   82.15   1.03   1.04   54     -0.26    0.11    
  G057.3413+00.5612   294.0239    21.85372    1.51E-5   1.51E-5   57.34125  0.56118    1.47E-5   1.43E-5   EgC                  0.93    0.09     0.87     0.08    0.07   13.39   0.93   0.72   26     -1.47    0.43    
  G057.3441+00.5611   294.02547   21.8562     7.84E-6   7.84E-6   57.34412  0.56111    7.65E-6   7.43E-6   EgC                  2.1     0.14     2.07     0.13    0.08   27.12   0.99   0.89   40     -1.0     0.11    
  G057.3705+00.4465   294.14709   21.8233     1.78E-5   1.78E-5   57.37046  0.44651    1.75E-5   1.69E-5   EgC                  0.81    0.09     0.86     0.08    0.07   11.26   1.05   0.75   28     -0.55    0.21    
  G057.3813+00.2018   294.3827    21.71314    1.4E-5    1.4E-5    57.3813   0.20178    1.38E-5   1.32E-5   EgC                  1.09    0.1      1.06     0.09    0.08   14.44   0.97   0.77   30     -0.91    0.39    
  G057.3950+00.6032   294.01253   21.92111    1.75E-5   1.75E-5   57.39496  0.60323    1.74E-5   1.67E-5   Radio-star           0.88    0.09     0.88     0.09    0.08   11.52   1.0    0.73   27     -0.87    0.34    
  G057.3955-00.8605   295.38377   21.20265    2.59E-5   2.59E-5   57.39551  -0.86049   2.55E-5   2.46E-5   EgC                  0.62    0.09     0.66     0.09    0.08   7.72    1.08   0.66   22     -1.06    0.59    
  G057.3999+00.7962   293.83335   22.01938    2.52E-5   2.52E-5   57.39991  0.79621    2.51E-5   2.37E-5   EgC                  0.51    0.07     0.55     0.07    0.07   7.91    1.08   0.68   23     -0.68    0.22    
  G057.4128-00.8690   295.40085   21.21349    2.7E-5    2.7E-5    57.41281  -0.86897   2.67E-5   2.55E-5   EgC                  0.56    0.08     0.62     0.08    0.08   7.39    1.11   0.68   23     -0.98    0.36    
  G057.4136+00.0776   294.51626   21.68052    9.63E-6   9.63E-6   57.41364  0.0776     9.52E-6   9.14E-6   EgC                  1.43    0.11     1.49     0.1     0.07   21.56   1.04   0.85   36     -0.76    0.19    
  G057.4312+00.7622   293.88184   22.03016    1.6E-5    1.6E-5    57.43119  0.76218    1.57E-5   1.49E-5   EgC                  0.83    0.08     0.86     0.08    0.07   12.56   1.04   0.77   30     -0.33    0.44    
  G057.4338+00.4440   294.18283   21.87736    1.1E-5    1.1E-5    57.43383  0.44395    1.08E-5   1.05E-5   EgC                  1.48    0.11     1.44     0.11    0.08   18.68   0.97   0.81   33     -1.08    0.18    
  G057.4463+00.1526   294.46313   21.74578    1.1E-5    1.1E-5    57.44634  0.15261    1.09E-5   1.05E-5   EgC                  1.25    0.1      1.25     0.09    0.07   18.61   1.0    0.81   33     -0.87    0.36    
  G057.4645+00.6107   294.04198   21.98546    2.3E-5    2.3E-5    57.46446  0.61074    2.25E-5   2.13E-5   EgC                  0.67    0.09     0.73     0.09    0.08   8.69    1.08   0.71   25     -0.27    0.41    
  G057.4774+00.5008   294.15222   21.9431     2.25E-5   2.25E-5   57.47736  0.50083    2.2E-5    2.13E-5   EgC                  0.67    0.08     0.76     0.09    0.08   8.88    1.13   0.72   26     -1.11    0.35    
  G057.4978-00.6210   295.21464   21.41001    1.82E-5   1.82E-5   57.49782  -0.621     1.77E-5   1.72E-5   EgC                  0.84    0.09     0.94     0.09    0.08   11.06   1.11   0.77   30     -0.47    0.29    
  G057.5015-00.1644   294.78951   21.63827    1.67E-5   1.67E-5   57.5015   -0.16439   1.64E-5   1.59E-5   EgC                  0.88    0.09     0.94     0.09    0.07   12.06   1.07   0.77   30     -0.37    0.21    
  G057.5032-00.7301   295.31936   21.36077    5.56E-6   5.56E-6   57.50322  -0.7301    5.48E-6   5.33E-6   EgC                  3.3     0.19     3.17     0.18    0.08   41.5    0.96   0.92   43     -0.01    0.04    
  G057.5065-00.0431   294.67848   21.70227    5.21E-6   5.21E-6   57.50654  -0.04307   5.14E-6   4.93E-6   EgC                  3.51    0.2      4.33     0.23    0.08   45.32   1.23   1.13   64     -1.55    0.14    
  G057.5079+00.2730   294.3826    21.8584     1.48E-5   1.48E-5   57.50793  0.27295    1.47E-5   1.4E-5    EgC                  1.03    0.09     1.02     0.09    0.08   13.64   0.98   0.77   30     0.03     0.15    
  G057.5089-00.2896   294.91069   21.58309    2.52E-5   2.52E-5   57.5089   -0.28962   2.53E-5   2.41E-5   EgC                  0.58    0.08     0.69     0.08    0.08   7.93    1.19   0.71   25     -1.28    0.75    
  G057.5107-00.4403   295.05258   21.51042    1.82E-5   1.82E-5   57.5107   -0.44026   1.77E-5   1.73E-5   EgC                  0.86    0.09     0.84     0.09    0.08   11.05   0.97   0.72   26     0.38     0.45    
